Alloy,Elements,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,N,Li,Sn,B,Y,Pd,Actual phase,Phases considered,References
Al90Mg7.1Zn1.35Cu1.35Si0.3,"['Al', 'Mg', 'Zn', 'Cu', 'Si']",0.911392405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071898734,0.013670886,0.003037975,0,0,0,0,0,0,IM,0,https://doi.org/10.1179/1743284715Y.0000000032
Al0.5NbTiVZr,"['Al', 'Nb', 'Ti', 'V', 'Zr']",0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.4236/msa.2018.913074
Al26.6Nb23.8Ti25.1V24.5,"['Al', 'Nb', 'Ti', 'V']",0.266,0,0,0,0,0,0,0.251,0.245,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1007/s11837-014-1059-z
AlLiMgZnSn,"['Al', 'Li', 'Mg', 'Zn', 'Sn']",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,IM,0,https://doi.org/10.1007/s11837-014-1059-z
Al80Li5Mg5Zn5Sn5,"['Al', 'Li', 'Mg', 'Zn', 'Sn']",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0,IM,0,https://doi.org/10.1007/s11837-014-1059-z
Al80Li5Mg5Zn5Cu5,"['Al', 'Li', 'Mg', 'Zn', 'Cu']",0.8,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,IM,0,https://doi.org/10.1016/j.mtla.2019.100485
AlCrFeMnNi,"['Al', 'Cr', 'Fe', 'Mn', 'Ni']",0.2,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.msea.2017.02.072
Al8Co17Cr17Cu8Fe17Ni33,"['Al', 'Co', 'Cr', 'Cu', 'Fe', 'Ni']",0.08,0.17,0.17,0.17,0.33,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1007/s11837-013-0756-3
Al0.5CoCrFeMnNi,"['Al', 'Co', 'Cr', 'Fe', 'Mn', 'Ni']",0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,https://doi.org/10.1016/j.msea.2018.05.041
CoCrFeNiV0.25,"['Co', 'Cr', 'Fe', 'Ni', 'V']",0,0.235294118,0.235294118,0.235294118,0.235294118,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.3390/met9111172
CoCrFeNiV0.5,"['Co', 'Cr', 'Fe', 'Ni', 'V']",0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.3390/met9111172
CoCrFeNiV0.7,"['Co', 'Cr', 'Fe', 'Ni', 'V']",0,0.212765957,0.212765957,0.212765957,0.212765957,0,0,0,0.14893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.3390/met9111172
CoCrFeNiV0.8,"['Co', 'Cr', 'Fe', 'Ni', 'V']",0,0.208333333,0.208333333,0.208333333,0.208333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.3390/met9111172
CoCrFeNiV0.9,"['Co', 'Cr', 'Fe', 'Ni', 'V']",0,0.204081633,0.204081633,0.204081633,0.204081633,0,0,0,0.183673469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.3390/met9111172
CoCrFeNiV,"['Co', 'Cr', 'Fe', 'Ni', 'V']",0,0.2,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1080/21663831.2019.1638844
(CoCrFeMnNi)99C1,"['Co', 'Cr', 'Fe', 'Mn', 'Ni', 'C']",0,0.198,0.198,0.198,0.198,0,0.198,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2018.10.050
Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.2,"['Fe', 'Mn', 'Ni', 'Co', 'Cr', 'C']",0,0.1996,0.1996,0.1996,0.1996,0,0.1996,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2018.10.050
Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.5,"['Fe', 'Mn', 'Ni', 'Co', 'Cr', 'C']",0,0.199002991,0.199002991,0.199002991,0.199002991,0,0.199002991,0,0,0,0,0,0,0,0,0.004985045,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2018.10.050
Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.8,"['Fe', 'Mn', 'Ni', 'Co', 'Cr', 'C']",0,0.198409543,0.198409543,0.198409543,0.198409543,0,0.198409543,0,0,0,0,0,0,0,0,0.007952286,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2018.10.050
Al0.1CoCrFeNi,"['Al', 'Co', 'Cr', 'Fe', 'Ni']",0.024390244,0.243902439,0.243902439,0.243902439,0.243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.msea.2019.04.025
Fe45Cr10V10Co10Ni25,"['Fe', 'Cr', 'V', 'Co', 'Ni']",0,0.1,0.1,0.45,0.25,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1038/s41598-019-39570-y
Fe45Cr10V10Co20Ni15,"['Fe', 'Cr', 'V', 'Co', 'Ni']",0,0.2,0.1,0.45,0.15,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1038/s41598-019-39570-y
